City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
221,Aden,54,YE,1680569245,78,12.7794,45.0367,27.94,5.95
222,Songjianghe,100,CN,1680568970,49,42.1859,127.479,10.98,2.09
223,Sola,75,VU,1680569245,66,-13.8833,167.55,32.37,2.06
224,Umluj,19,SA,1680569246,35,25.0213,37.2685,24.06,2.44
225,Paphos,97,CY,1680569247,62,34.7667,32.4167,11.88,3.09
226,Alugan,87,PH,1680569247,82,12.2188,125.4808,26.32,6.24
227,Haines Junction,12,CA,1680569248,34,60.7522,-137.5108,-0.03,3.6
228,Madalag,77,PH,1680569248,66,10.8994,122.9828,28.6,5.73
229,Severo-Kuril'sk,69,RU,1680569248,84,50.6789,156.125,0.9,5.62
230,Calabazar de Sagua,40,CU,1680569249,69,22.6447,-79.8961,26.26,6.17
231,Concepción del Uruguay,98,AR,1680569249,91,-32.4825,-58.2372,17.92,3.97
232,Fortuna,35,US,1680569103,74,40.5982,-124.1573,8.88,1.79
233,Palmer,75,US,1680568955,56,42.1584,-72.3287,9.78,8.23
234,Mount Gambier,100,AU,1680569250,56,-37.8333,140.7667,18.94,1.51
235,Chapais,95,CA,1680569250,94,49.7834,-74.8492,-5.12,4.9
236,Calabozo,50,VE,1680569251,38,8.9242,-67.4293,31.99,5.15
237,Talcahuano,0,CL,1680569251,63,-36.7167,-73.1167,15.82,4.63
238,Khvorostyanka,100,RU,1680569252,54,52.6096,48.9597,8.65,2.77
239,Cidreira,25,BR,1680569252,78,-30.1811,-50.2056,22.41,6.4
240,Constantine,75,DZ,1680569252,87,36.365,6.6147,6.67,3.6
241,Aljezur,100,PT,1680569252,86,37.3191,-8.8033,13.46,5.92
242,Ahipara,0,NZ,1680569252,53,-35.1667,173.1667,19.93,5.47
243,Srednekolymsk,11,RU,1680569253,65,67.45,153.6833,-10.36,2.18
244,Egvekinot,15,RU,1680569253,76,66.3167,-179.1667,-19.29,1.6
245,Jatiroto,91,ID,1680569253,80,-7.8833,111.1167,25.12,1.15
246,Tiksi,100,RU,1680569253,89,71.6872,128.8694,-8.55,2.27
247,Kalemie,100,CD,1680569254,90,-5.9475,29.1947,20.8,0.87
248,Lagoa,100,PT,1680569254,69,39.05,-27.9833,14.57,4.75
249,Voh,100,NC,1680569255,54,-20.9667,164.7,32.22,1.03
250,Bayir,94,TR,1680569255,36,37.2687,28.2167,17.29,8.35
251,Saldanha,100,ZA,1680569256,93,-33.0117,17.9442,13.03,3.22
252,Sõmeru,99,EE,1680569256,85,59.3611,26.4375,-2.28,3.83
253,Pacific Grove,0,US,1680569087,64,36.6177,-121.9166,12.82,12.07
254,Camargo,100,MX,1680569257,8,27.6667,-105.1667,28.05,12.02
255,Ust-Maya,100,RU,1680569257,89,60.4167,134.5333,-6.88,3.67
256,Port Macquarie,15,AU,1680569257,68,-31.4333,152.9167,22.72,4.71
257,Los Llanos de Aridane,40,ES,1680569257,91,28.6585,-17.9182,17.86,8.75
258,Mahajanga,20,MG,1680569257,100,-15.7167,46.3167,25.01,1.03
259,Dhubri,42,IN,1680569257,78,26.0333,89.9667,21.3,4.54
260,Malayal,24,PH,1680569258,72,7.208,121.942,26.89,2.64
261,Leningradskiy,5,RU,1680569258,86,69.3833,178.4167,-21.61,1.65
262,Beringovskiy,100,RU,1680569167,91,63.05,179.3167,-13.3,5.96
263,Honningsvåg,100,NO,1680569258,87,70.9821,25.9704,1.86,7.2
264,Vallenar,80,CL,1680569258,60,-28.5708,-70.7581,21.55,0.37
265,Severnyy,100,RU,1680569258,100,50.677,36.5532,7.02,2.0
266,Seoul,0,KR,1680569138,14,37.5683,126.9778,18.76,4.12
267,Necochea,43,AR,1680569259,89,-38.5473,-58.7368,15.44,3.75
268,Vokhtoga,100,RU,1680569259,99,58.8147,41.0461,3.86,2.87
269,Byron Bay,94,AU,1680569259,80,-28.65,153.6167,20.39,5.8
270,George Town,20,MY,1680568890,100,5.4112,100.3354,26.96,1.03
271,Zhigansk,100,RU,1680569259,95,66.7697,123.3711,-9.56,3.19
272,Tupelo,0,US,1680569259,83,34.2576,-88.7034,24.16,3.09
273,Japura,51,ID,1680569260,90,-0.3167,102.35,25.24,0.89
274,Nieuw Amsterdam,82,SR,1680569260,83,5.8833,-55.0833,26.12,4.25
275,Ilulissat,26,GL,1680569260,99,69.2167,-51.1,-26.05,2.53
276,Pasaje,100,EC,1680568988,93,-3.3333,-79.8167,25.68,0.91
277,Constitución,6,CL,1680569260,69,-35.3333,-72.4167,14.28,5.57
278,Mokhsogollokh,100,RU,1680569260,89,61.4681,128.9203,-8.72,1.89
279,Vredendal,6,ZA,1680569261,78,-31.6683,18.5012,16.44,1.41
280,Ekibastuz,0,KZ,1680569261,46,51.6667,75.3667,1.1,3.72
281,Sinnamary,96,GF,1680569261,81,5.3833,-52.95,24.88,3.81
282,Kieta,28,PG,1680569262,67,-6.2167,155.6333,29.97,2.28
283,Upernavik,31,GL,1680569262,100,72.7868,-56.1549,-29.08,2.01
284,Eureka,42,US,1680569262,72,40.8021,-124.1637,9.03,1.34
285,Bogo,17,PH,1680569262,71,11.0517,124.0055,28.17,3.9
286,Khovd,0,MN,1680569262,12,48.0056,91.6419,-6.21,0.64
287,Mackay,22,AU,1680569228,73,-21.15,149.2,28.71,4.06
288,Dinguiraye,4,GN,1680569263,15,11.3,-10.7167,25.86,1.05
289,Fes,0,MA,1680569263,57,34.0372,-4.9998,11.14,3.6
290,Zhangye,100,CN,1680569263,66,38.9342,100.4517,1.46,10.39
291,Inuvik,20,CA,1680569108,59,68.3499,-133.7218,-10.52,3.09
292,Divnomorskoye,54,RU,1680569263,94,44.5011,38.1353,9.29,2.53
293,Épinal,0,FR,1680569264,75,48.1833,6.45,1.42,3.81
294,Tilichiki,100,RU,1680569264,88,60.4667,166.1,-10.26,5.14
295,Esim,100,GH,1680569264,85,4.8699,-2.2405,26.33,3.28
296,Valparaíso,0,CL,1680569265,57,-33.0393,-71.6273,18.89,1.03
297,Dargaville,1,NZ,1680569265,51,-35.9333,173.8833,19.77,4.3
298,Safi,0,MA,1680569265,89,32.2994,-9.2372,15.82,5.09
299,Laguna,0,US,1680569265,28,38.421,-121.4238,15.16,9.26
300,Avilés,100,ES,1680569265,79,43.5547,-5.9248,11.66,4.12
301,Pisco,0,PE,1680569107,88,-13.7,-76.2167,24.03,6.69
302,Maoming,46,CN,1680569265,80,21.65,110.9,25.96,8.18
303,Vânători,100,RO,1680569266,81,45.7333,27.25,4.62,7.93
304,Jurm,100,AF,1680569266,84,36.8648,70.8342,6.93,1.15
305,Kushiro,75,JP,1680568828,75,42.975,144.3747,5.53,4.63
306,Gizo Government Station,100,SB,1680569266,69,-8.103,156.8419,29.38,1.4
307,Diamantino,7,BR,1680569266,94,-14.4086,-56.4461,22.0,1.92
308,Jamālpur,0,BD,1680568863,76,24.9167,89.9333,22.16,4.15
309,Monrovia,67,LR,1680569107,84,6.3005,-10.7969,23.87,2.08
310,Galesburg,100,US,1680569085,49,40.9478,-90.3712,15.95,6.69
311,Yemel'yanovo,40,RU,1680569268,69,56.1681,92.6767,-0.51,6.0
312,Genhe,6,CN,1680569268,49,50.7833,121.5167,-5.35,5.58
313,Chumikan,3,RU,1680569269,62,54.7183,135.315,-2.14,9.63
314,Provost,100,CA,1680569269,93,52.3501,-110.2683,-7.75,2.58
315,Lac du Bonnet,100,CA,1680569269,80,50.2536,-96.0612,-4.18,3.47
316,Krasnosel'kup,62,RU,1680569269,94,65.7,82.4667,-26.1,3.69
317,College,75,US,1680569270,57,64.8569,-147.8028,1.99,2.06
318,Blagoyevo,91,RU,1680569270,89,63.3667,47.9167,-9.22,3.05
319,Pervomayskoye,89,RU,1680569270,82,43.919,46.7102,6.38,2.79
320,Bethel,14,US,1680569270,70,41.3712,-73.414,10.36,0.89
321,Kem',100,RU,1680569271,100,64.9555,34.5793,-16.93,2.23
322,Surgut,0,RU,1680569271,72,61.25,73.4167,-7.9,6.0
323,Maragogi,23,BR,1680569271,80,-9.0122,-35.2225,25.62,2.2
324,Vila Franca do Campo,66,PT,1680569271,79,37.7167,-25.4333,13.23,2.07
325,Corrales,0,US,1680569271,9,35.2378,-106.6067,22.58,14.4
326,Kaspiysk,100,RU,1680569271,100,42.8816,47.6392,6.1,2.0
327,Sistranda,100,NO,1680569272,84,63.7256,8.834,3.98,6.24
328,Enshi,100,CN,1680569272,95,30.3,109.4833,17.15,0.92
329,Kavieng,19,PG,1680569272,70,-2.5744,150.7967,28.73,1.75
330,Faanui,100,PF,1680569272,73,-16.4833,-151.75,28.06,3.96
331,Estevan,100,CA,1680569138,79,49.1334,-102.9842,-8.81,5.14
332,Benjamin Constant,100,BR,1680569272,98,-4.3831,-70.0311,24.07,0.49
333,Mount Isa,98,AU,1680569273,19,-20.7333,139.5,29.87,5.14
334,Harker Heights,0,US,1680569213,63,31.0835,-97.6597,30.14,10.8
335,São Filipe,74,CV,1680569273,67,14.8961,-24.4956,24.17,3.11
336,Payakumbuh,55,ID,1680569273,86,-0.2202,100.6308,23.17,1.09
337,Paris,0,FR,1680569035,66,48.8534,2.3488,6.19,4.63
338,Mineiros,0,BR,1680569273,86,-17.5694,-52.5511,19.37,1.21
339,Gaziantep,0,TR,1680569273,87,37.0594,37.3825,8.96,0.51
340,Bambous Virieux,40,MU,1680569274,88,-20.3428,57.7575,25.14,1.54
341,Oranjemund,0,NA,1680569274,89,-28.55,16.4333,14.64,4.46
342,Bathsheba,75,BB,1680569274,73,13.2167,-59.5167,26.34,7.72
343,Grand Gaube,89,MU,1680569274,79,-20.0064,57.6608,25.22,5.15
344,Fare,100,PF,1680569274,73,-16.7,-151.0167,27.76,3.68
345,Wanning,72,CN,1680569274,81,18.8003,110.3967,26.63,6.62
346,Waingapu,63,ID,1680569274,76,-9.6567,120.2641,27.63,1.79
347,Praia,21,CV,1680569275,78,14.9215,-23.5087,23.3,4.12
348,Udachny,100,RU,1680569275,77,66.4167,112.4,-14.75,8.47
349,Macusani,100,PE,1680569275,91,-14.0833,-70.4333,3.44,1.41
350,Bosaso,8,SO,1680569275,74,11.2842,49.1816,26.81,1.11
351,Ōtawara,0,JP,1680569275,44,36.8667,140.0333,15.04,1.02
